,Unnamed: 0,Unnamed: 0.1,year,song,artist,peak_pos,weeks_on_chart,instance,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2250,2250,2251,2015,Geronimo,Sheppard,96,21,2,0.7120000000000001,0.763,7.0,-6.254,1.0,0.0867,0.47700000000000004,0.00118,0.114,0.503,142.031,audio_features,19cL3SOKpwnwoKkII7U3Wh,spotify:track:19cL3SOKpwnwoKkII7U3Wh,https://api.spotify.com/v1/tracks/19cL3SOKpwnwoKkII7U3Wh,https://api.spotify.com/v1/audio-analysis/19cL3SOKpwnwoKkII7U3Wh,218228.0,4.0,"['australian indie', 'australian pop']"
2251,2251,2252,2018,Get Along,Kenny Chesney,85,21,1,0.632,0.804,7.0,-6.109,1.0,0.0503,0.10099999999999999,0.0,0.17,0.35,92.456,audio_features,6n6OQfBpCgzF9oEg8zhBN7,spotify:track:6n6OQfBpCgzF9oEg8zhBN7,https://api.spotify.com/v1/tracks/6n6OQfBpCgzF9oEg8zhBN7,https://api.spotify.com/v1/audio-analysis/6n6OQfBpCgzF9oEg8zhBN7,199625.0,4.0,"['contemporary country', 'country', 'country road']"
2252,2252,2253,2008,Get Back,Demi Lovato,43,6,1,0.5539999999999999,0.8490000000000001,0.0,-3.6180000000000003,1.0,0.106,0.0059700000000000005,0.0,0.0431,0.74,75.973,audio_features,5rnLFnHktBdmpxwYXJXyQI,spotify:track:5rnLFnHktBdmpxwYXJXyQI,https://api.spotify.com/v1/tracks/5rnLFnHktBdmpxwYXJXyQI,https://api.spotify.com/v1/audio-analysis/5rnLFnHktBdmpxwYXJXyQI,200213.0,4.0,"['dance pop', 'pop', 'post-teen pop']"
2253,2253,2254,2005,Get Back,Ludacris,66,20,1,0.5820000000000001,0.6509999999999999,1.0,-4.971,1.0,0.257,0.0749,0.0,0.134,0.191,171.463,audio_features,3njpLvANriMsdv3dgADEad,spotify:track:3njpLvANriMsdv3dgADEad,https://api.spotify.com/v1/tracks/3njpLvANriMsdv3dgADEad,https://api.spotify.com/v1/audio-analysis/3njpLvANriMsdv3dgADEad,270747.0,4.0,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2254,2254,2255,2010,Get Back Up,T.I. Featuring Chris Brown,70,1,1,0.556,0.6990000000000001,7.0,-6.263999999999999,1.0,0.35,0.6,0.0,0.0937,0.648,83.711,audio_features,0yJpq0T48tKm6YPfSx2qnu,spotify:track:0yJpq0T48tKm6YPfSx2qnu,https://api.spotify.com/v1/tracks/0yJpq0T48tKm6YPfSx2qnu,https://api.spotify.com/v1/audio-analysis/0yJpq0T48tKm6YPfSx2qnu,264200.0,4.0,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2255,2255,2256,2007,Get Buck,Young Buck,100,3,2,0.7909999999999999,0.6559999999999999,1.0,-6.058,0.0,0.187,0.503,0.0,0.0371,0.606,76.505,audio_features,2v89G6dKQHB3LiV1Ej1vfX,spotify:track:2v89G6dKQHB3LiV1Ej1vfX,https://api.spotify.com/v1/tracks/2v89G6dKQHB3LiV1Ej1vfX,https://api.spotify.com/v1/audio-analysis/2v89G6dKQHB3LiV1Ej1vfX,254493.0,4.0,"['crunk', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2256,2256,2257,2008,Get Buck In Here,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",44,18,1,0.542,0.71,1.0,-6.316,1.0,0.396,0.19899999999999998,0.0,0.0727,0.382,90.846,audio_features,5zN3VFmNhdOKxRElarvVq5,spotify:track:5zN3VFmNhdOKxRElarvVq5,https://api.spotify.com/v1/tracks/5zN3VFmNhdOKxRElarvVq5,https://api.spotify.com/v1/audio-analysis/5zN3VFmNhdOKxRElarvVq5,229493.0,3.0,['pop rap']
2257,2257,2258,2003,Get Busy,Sean Paul,82,32,1,0.735,0.8240000000000001,10.0,-4.143,0.0,0.036000000000000004,0.615,0.0,0.158,0.726,100.20200000000001,audio_features,7C86DVl6REN8VPeGEMOf9q,spotify:track:7C86DVl6REN8VPeGEMOf9q,https://api.spotify.com/v1/tracks/7C86DVl6REN8VPeGEMOf9q,https://api.spotify.com/v1/audio-analysis/7C86DVl6REN8VPeGEMOf9q,211666.0,4.0,"['dance pop', 'dancehall', 'pop', 'pop rap']"
2258,2258,2259,2003,Get By,Talib Kweli,99,10,1,0.659,0.925,7.0,-4.76,1.0,0.38799999999999996,0.00351,0.0,0.146,0.77,90.19,audio_features,1LM6EReMkAxuDXDF26ekl2,spotify:track:1LM6EReMkAxuDXDF26ekl2,https://api.spotify.com/v1/tracks/1LM6EReMkAxuDXDF26ekl2,https://api.spotify.com/v1/audio-analysis/1LM6EReMkAxuDXDF26ekl2,227427.0,4.0,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'southern hip hop']"
2259,2259,2260,2001,Get Crunked Up,Iconz Featuring Tony Manshino,99,5,1,,,,,,,,,,,,,,,,,,,
2260,2260,2261,2018,Get Dripped,Lil Yachty Featuring Playboi Carti,98,1,1,0.95,0.489,8.0,-8.411,1.0,0.462,0.105,0.0,0.41100000000000003,0.919,130.02100000000002,audio_features,3m2aDCqn8eT5ElXDUiboGU,spotify:track:3m2aDCqn8eT5ElXDUiboGU,https://api.spotify.com/v1/tracks/3m2aDCqn8eT5ElXDUiboGU,https://api.spotify.com/v1/audio-analysis/3m2aDCqn8eT5ElXDUiboGU,158769.0,4.0,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
2261,2261,2262,2006,Get Drunk And Be Somebody,Toby Keith,93,20,1,0.623,0.899,2.0,-3.997,1.0,0.0577,0.24,0.0,0.344,0.6629999999999999,128.046,audio_features,408wKFP7qp6ALbjcex2t9k,spotify:track:408wKFP7qp6ALbjcex2t9k,https://api.spotify.com/v1/tracks/408wKFP7qp6ALbjcex2t9k,https://api.spotify.com/v1/audio-analysis/408wKFP7qp6ALbjcex2t9k,178840.0,4.0,"['contemporary country', 'country', 'country road', 'oklahoma country']"
2262,2262,2263,2000,Get Gone,Ideal,13,22,1,0.7020000000000001,0.52,10.0,-8.581,1.0,0.0725,0.435,0.0,0.299,0.467,120.005,audio_features,0CofintZCm8MhxiOMrauiT,spotify:track:0CofintZCm8MhxiOMrauiT,https://api.spotify.com/v1/tracks/0CofintZCm8MhxiOMrauiT,https://api.spotify.com/v1/audio-analysis/0CofintZCm8MhxiOMrauiT,275173.0,4.0,[]
2263,2263,2264,2014,Get Her Back,Robin Thicke,82,1,1,0.579,0.287,4.0,-13.642000000000001,0.0,0.0828,0.915,0.0,0.0969,0.735,187.797,audio_features,231O3DltLcwtgIKoNbMkrt,spotify:track:231O3DltLcwtgIKoNbMkrt,https://api.spotify.com/v1/tracks/231O3DltLcwtgIKoNbMkrt,https://api.spotify.com/v1/audio-analysis/231O3DltLcwtgIKoNbMkrt,213173.0,4.0,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
2264,2264,2265,2000,Get It On Tonite,Montell Jordan,21,32,1,0.8059999999999999,0.494,10.0,-9.972999999999999,0.0,0.0786,0.278,4.6899999999999995e-05,0.0633,0.861,99.00299999999999,audio_features,0AcLrSfAEBQcUnHOTm5pXg,spotify:track:0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/tracks/0AcLrSfAEBQcUnHOTm5pXg,https://api.spotify.com/v1/audio-analysis/0AcLrSfAEBQcUnHOTm5pXg,277413.0,4.0,"['hip hop', 'hip pop', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
2265,2265,2266,2005,Get It Poppin,Fat Joe Featuring Nelly,88,20,1,0.905,0.55,1.0,-7.558,1.0,0.37200000000000005,0.0628,0.0,0.0644,0.52,100.81299999999999,audio_features,3zdDxhDo5SycC7XSAPfdjv,spotify:track:3zdDxhDo5SycC7XSAPfdjv,https://api.spotify.com/v1/tracks/3zdDxhDo5SycC7XSAPfdjv,https://api.spotify.com/v1/audio-analysis/3zdDxhDo5SycC7XSAPfdjv,211320.0,4.0,"['dance pop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'trap']"
2266,2266,2267,2011,Get It Right,Glee Cast,16,2,1,0.419,0.5489999999999999,2.0,-5.696000000000001,1.0,0.0322,0.331,0.0,0.073,0.141,83.555,audio_features,2IIdrejPZuHHFpc3LbTtEK,spotify:track:2IIdrejPZuHHFpc3LbTtEK,https://api.spotify.com/v1/tracks/2IIdrejPZuHHFpc3LbTtEK,https://api.spotify.com/v1/audio-analysis/2IIdrejPZuHHFpc3LbTtEK,227853.0,4.0,"['glee club', 'hollywood', 'pop', 'post-teen pop']"
2267,2267,2268,2007,Get It Shawty,Lloyd,76,22,1,0.825,0.909,5.0,-4.0089999999999995,0.0,0.267,0.133,0.0,0.0508,0.625,128.003,audio_features,2a03afRiyAbNAleOByVju4,spotify:track:2a03afRiyAbNAleOByVju4,https://api.spotify.com/v1/tracks/2a03afRiyAbNAleOByVju4,https://api.spotify.com/v1/audio-analysis/2a03afRiyAbNAleOByVju4,208500.0,4.0,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
